,Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
41,42,19,Female,High School,Nigeria,5.8,Instagram,Yes,5.4,5,Complicated,4,8
42,43,21,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7,Single,2,5
43,44,20,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,In Relationship,3,7
44,45,18,Male,High School,Argentina,5.5,TikTok,Yes,5.3,5,Single,4,8
45,46,23,Female,Graduate,Chile,2.7,LinkedIn,No,7.1,8,Complicated,1,4
46,47,19,Male,Undergraduate,Colombia,4.8,Instagram,Yes,5.9,6,In Relationship,3,7
47,48,20,Female,Undergraduate,Peru,5.5,TikTok,Yes,5.6,5,Single,4,8
48,49,22,Male,Graduate,Venezuela,3.3,Facebook,No,6.7,7,In Relationship,2,5
49,50,19,Female,High School,Ecuador,6.3,Instagram,Yes,5.2,5,Complicated,4,9
50,51,21,Male,Undergraduate,Uruguay,3.8,YouTube,No,6.4,7,Single,2,6
51,52,20,Female,Undergraduate,Paraguay,4.7,TikTok,Yes,5.8,6,In Relationship,3,7
52,53,24,Male,Graduate,Bolivia,2.4,LinkedIn,No,7.2,8,Complicated,1,4
53,54,19,Female,High School,Costa Rica,5.7,Instagram,Yes,5.5,5,Single,4,8
54,55,21,Male,Undergraduate,Panama,3.6,Facebook,No,6.5,7,In Relationship,2,5
55,56,20,Female,Undergraduate,Jamaica,4.9,Snapchat,Yes,5.6,6,Complicated,3,7
56,57,18,Male,High School,Trinidad,5.6,TikTok,Yes,5.2,5,Single,4,8
57,58,23,Female,Graduate,Bahamas,2.8,LinkedIn,No,7.0,8,In Relationship,1,4
58,59,19,Male,Undergraduate,Iceland,4.6,Instagram,Yes,5.9,6,Complicated,3,7
59,60,20,Female,Undergraduate,Finland,5.4,TikTok,Yes,5.7,5,Single,4,8
60,61,22,Male,Graduate,Poland,3.1,Facebook,No,7.1,7,Single,1,5
61,62,19,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5,In Relationship,3,8
62,63,20,Male,Undergraduate,Hungary,4.2,TikTok,Yes,6.0,6,Complicated,3,7
63,64,18,Female,High School,Czech Republic,6.1,Snapchat,Yes,5.2,4,Single,4,9
64,65,23,Male,Graduate,Slovakia,2.3,LinkedIn,No,7.4,8,In Relationship,1,3
65,66,21,Female,Undergraduate,Croatia,4.8,Instagram,Yes,5.8,6,Single,3,7
66,67,20,Male,Undergraduate,Serbia,3.9,YouTube,No,6.5,7,Complicated,2,6
67,68,19,Female,High School,Slovenia,5.7,TikTok,Yes,5.4,5,In Relationship,4,8
68,69,22,Male,Graduate,Bulgaria,2.8,LinkedIn,No,7.2,8,Single,1,4
69,70,20,Female,Undergraduate,Estonia,4.5,Instagram,Yes,5.9,6,Complicated,3,7
70,71,18,Male,High School,Latvia,5.4,Snapchat,Yes,5.5,5,Single,4,8
71,72,21,Female,Graduate,Lithuania,3.2,Facebook,No,6.8,7,In Relationship,2,5
72,73,19,Male,Undergraduate,Ukraine,4.9,TikTok,Yes,5.7,6,Complicated,3,7
73,74,20,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,Single,4,8
74,75,23,Male,Graduate,Belarus,2.5,LinkedIn,No,7.3,8,In Relationship,1,4
75,76,21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6,Single,3,7
77,78,22,Female,Graduate,Kyrgyzstan,2.9,Facebook,No,7.0,7,In Relationship,2,5
78,79,20,Male,Undergraduate,Tajikistan,4.7,YouTube,Yes,5.9,6,Single,3,7
79,80,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Complicated,4,9
80,81,21,Male,Graduate,Georgia,3.0,LinkedIn,No,7.1,8,In Relationship,1,4
81,82,19,Female,Undergraduate,Azerbaijan,4.8,TikTok,Yes,5.7,6,Single,3,7
82,83,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2,6
83,84,22,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,In Relationship,1,4
84,85,18,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,Single,4,8
85,86,21,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6,Complicated,3,7
86,87,19,Male,High School,Andorra,5.3,TikTok,Yes,5.5,5,In Relationship,4,8
87,88,23,Female,Graduate,San Marino,2.6,LinkedIn,No,7.3,8,Single,1,4
88,89,20,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6.0,6,Complicated,3,7
89,90,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4,9
90,91,22,Male,Graduate,Montenegro,2.9,Facebook,No,7.0,7,In Relationship,2,5
91,92,19,Female,Undergraduate,Albania,4.7,TikTok,Yes,5.8,6,Complicated,3,7
92,93,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,6
93,94,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,8
94,95,23,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Complicated,1,4
95,96,19,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6,Single,3,7
96,97,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4,8
97,98,22,Female,Graduate,Bahrain,2.8,LinkedIn,No,7.1,8,Complicated,1,4
98,99,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Single,3,7
99,100,21,Female,Undergraduate,Jordan,5.4,TikTok,Yes,5.5,5,In Relationship,4,8
100,101,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Complicated,4,9
101,102,23,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8,Single,1,4
102,103,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,In Relationship,3,7
103,104,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Single,4,8
104,105,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7.0,7,Complicated,2,5
107,108,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4,8
108,109,23,Male,Graduate,Sri Lanka,2.6,LinkedIn,No,7.2,8,In Relationship,1,4
109,110,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Single,3,7
114,115,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,In Relationship,3,7
115,116,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Single,2,5
120,121,20,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,Single,3,7
121,122,21,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8,In Relationship,2,5
126,127,19,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6,Single,3,7
127,128,20,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,In Relationship,2,5
132,133,22,Male,Graduate,Sri Lanka,5.5,Facebook,Yes,5.5,6,Single,3,7
133,134,21,Female,Graduate,Maldives,4.2,Instagram,No,7.8,8,In Relationship,2,5
138,139,19,Male,Undergraduate,Sri Lanka,5.3,TikTok,Yes,5.3,6,Single,3,7
139,140,20,Female,Undergraduate,Maldives,4.0,Instagram,No,8.0,8,In Relationship,2,5
144,145,22,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6,Single,3,7
145,146,21,Female,Graduate,Maldives,3.8,Instagram,No,8.2,8,In Relationship,2,5
150,151,19,Male,Undergraduate,Sri Lanka,4.9,TikTok,Yes,4.9,6,Single,3,7
151,152,20,Female,Undergraduate,Maldives,3.6,Instagram,No,8.4,8,In Relationship,2,5
156,157,22,Male,Graduate,Sri Lanka,4.7,Facebook,Yes,4.7,6,Single,3,7
157,158,21,Female,Graduate,Maldives,3.4,Instagram,No,8.6,8,In Relationship,2,5
164,165,19,Female,Undergraduate,Sri Lanka,5.1,Facebook,No,7.0,7,Single,2,5
165,166,21,Male,Graduate,Maldives,5.4,TikTok,Yes,6.0,6,In Relationship,4,8
170,171,20,Female,Undergraduate,Sri Lanka,5.0,Facebook,No,7.3,7,Single,2,5
171,172,22,Male,Graduate,Maldives,5.3,TikTok,Yes,5.7,6,In Relationship,4,8
176,177,19,Female,Undergraduate,Sri Lanka,4.9,Facebook,No,7.5,7,Single,2,5
177,178,21,Male,Graduate,Maldives,5.2,TikTok,Yes,5.5,6,In Relationship,4,8
182,183,20,Female,Undergraduate,Sri Lanka,4.8,Facebook,No,7.7,7,Single,2,5
183,184,22,Male,Graduate,Maldives,5.1,TikTok,Yes,5.3,6,In Relationship,4,8
188,189,19,Female,Undergraduate,Sri Lanka,4.7,Facebook,No,7.9,7,Single,2,5
189,190,21,Male,Graduate,Maldives,5.0,TikTok,Yes,5.1,6,In Relationship,4,8
194,195,20,Female,Undergraduate,Sri Lanka,4.6,Facebook,No,8.1,7,Single,2,5
195,196,22,Male,Graduate,Maldives,4.9,TikTok,Yes,4.9,6,In Relationship,4,8
200,201,19,Female,Undergraduate,Sri Lanka,4.5,Facebook,No,8.3,7,Single,2,5
201,202,21,Male,Graduate,Maldives,4.8,TikTok,Yes,4.7,6,In Relationship,4,8
206,207,20,Female,Undergraduate,Sri Lanka,4.4,Facebook,No,8.5,7,Single,2,5
207,208,22,Male,Graduate,Maldives,4.7,TikTok,Yes,4.5,6,In Relationship,4,8
212,213,19,Female,Undergraduate,Sri Lanka,4.3,Facebook,No,8.7,7,Single,2,5
213,214,21,Male,Graduate,Maldives,4.6,TikTok,Yes,4.3,6,In Relationship,4,8
218,219,20,Female,Undergraduate,Sri Lanka,4.2,Facebook,No,8.9,7,Single,2,5
219,220,22,Male,Graduate,Maldives,4.5,TikTok,Yes,4.1,6,In Relationship,4,8
220,221,19,Female,Undergraduate,USA,6.5,Instagram,Yes,6.0,5,Single,4,9
221,222,21,Male,Graduate,UK,5.8,TikTok,Yes,6.5,6,In Relationship,3,7
222,223,20,Female,Undergraduate,Australia,4.5,Instagram,No,7.5,8,Single,2,5
223,224,22,Male,Graduate,Germany,4.2,Facebook,No,7.8,7,In Relationship,2,4
225,226,21,Male,Graduate,Italy,5.5,Instagram,Yes,6.8,6,Single,3,7
228,229,19,Female,Undergraduate,USA,7.0,TikTok,Yes,5.8,4,In Relationship,4,9
229,230,21,Male,Graduate,UK,5.5,Instagram,Yes,6.7,6,Single,3,7
230,231,20,Female,Undergraduate,Australia,4.7,Facebook,No,7.4,7,In Relationship,2,5
231,232,22,Male,Graduate,Germany,4.0,Instagram,No,7.9,8,Single,1,4
233,234,21,Male,Graduate,Italy,5.7,TikTok,Yes,6.5,5,In Relationship,3,8
236,237,19,Female,Undergraduate,USA,6.8,Instagram,Yes,5.9,4,Single,4,9
237,238,21,Male,Graduate,UK,5.6,Facebook,Yes,6.6,6,In Relationship,3,7
238,239,20,Female,Undergraduate,Australia,4.6,Instagram,No,7.3,7,Single,2,5
239,240,22,Male,Graduate,Germany,4.1,Facebook,No,7.7,8,In Relationship,2,4
241,242,21,Male,Graduate,Italy,5.4,Instagram,Yes,6.7,5,Single,3,7
244,245,19,Female,Undergraduate,USA,6.9,TikTok,Yes,5.7,4,In Relationship,4,9
245,246,21,Male,Graduate,UK,5.7,Instagram,Yes,6.4,6,Single,3,7
246,247,20,Female,Undergraduate,Australia,4.8,Facebook,No,7.2,7,In Relationship,2,5
247,248,22,Male,Graduate,Germany,3.9,Instagram,No,7.8,8,Single,1,4
249,250,21,Male,Graduate,Italy,5.6,TikTok,Yes,6.6,5,In Relationship,3,8
252,253,19,Female,Undergraduate,USA,6.7,Instagram,Yes,5.8,4,Single,4,9
253,254,21,Male,Graduate,UK,5.4,Facebook,Yes,6.5,6,In Relationship,3,7
254,255,20,Female,Undergraduate,Australia,4.4,Instagram,No,7.4,7,Single,2,5
255,256,22,Male,Graduate,Germany,4.0,Facebook,No,7.6,8,In Relationship,2,4
257,258,21,Male,Graduate,Italy,5.3,Instagram,Yes,6.8,5,Single,3,7
260,261,19,Female,Undergraduate,USA,6.6,TikTok,Yes,5.6,4,In Relationship,4,9
261,262,21,Male,Graduate,UK,5.3,Instagram,Yes,6.3,6,Single,3,7
262,263,20,Female,Undergraduate,Australia,4.3,Facebook,No,7.5,7,In Relationship,2,5
263,264,22,Male,Graduate,Germany,3.8,Instagram,No,7.7,8,Single,1,4
265,266,21,Male,Graduate,Italy,5.2,TikTok,Yes,6.9,5,In Relationship,3,8
268,269,19,Female,Undergraduate,USA,6.4,Instagram,Yes,5.7,4,Single,4,9
269,270,21,Male,Graduate,UK,5.2,Facebook,Yes,6.4,6,In Relationship,3,7
270,271,20,Female,Undergraduate,Australia,4.5,Instagram,No,7.3,7,Single,2,5
271,272,22,Male,Graduate,Germany,3.7,Facebook,No,7.8,8,In Relationship,1,4
273,274,21,Male,Graduate,Italy,5.4,Instagram,Yes,6.7,5,Single,3,7
276,277,19,Female,Undergraduate,USA,6.6,TikTok,Yes,5.5,4,In Relationship,4,9
277,278,21,Male,Graduate,UK,5.1,Instagram,Yes,6.5,6,Single,3,7
278,279,20,Female,Undergraduate,Australia,4.4,Facebook,No,7.4,7,In Relationship,2,5
279,280,22,Male,Graduate,Germany,3.6,Instagram,No,7.9,8,Single,1,4
281,282,21,Male,Graduate,Italy,5.3,TikTok,Yes,6.8,5,In Relationship,3,8
284,285,19,Female,Undergraduate,USA,6.7,Instagram,Yes,5.4,4,Single,4,9
285,286,21,Male,Graduate,UK,5.0,Facebook,Yes,6.6,6,In Relationship,3,7
286,287,20,Female,Undergraduate,Australia,4.3,Instagram,No,7.5,7,Single,2,5
287,288,22,Male,Graduate,Germany,3.5,Facebook,No,8.0,8,In Relationship,1,4
289,290,21,Male,Graduate,Italy,5.2,Instagram,Yes,6.9,5,Single,3,7
292,293,19,Female,Undergraduate,USA,6.8,TikTok,Yes,5.3,4,In Relationship,4,9
293,294,21,Male,Graduate,UK,4.9,Instagram,Yes,6.7,6,Single,3,7
294,295,20,Female,Undergraduate,Australia,4.2,Facebook,No,7.6,7,In Relationship,2,5
295,296,22,Male,Graduate,Germany,3.4,Instagram,No,8.1,8,Single,1,4
297,298,21,Male,Graduate,Italy,5.1,TikTok,Yes,7.0,5,In Relationship,3,8
300,301,19,Female,Undergraduate,USA,6.9,Instagram,Yes,5.2,4,Single,4,9
301,302,21,Male,Graduate,UK,4.8,Facebook,Yes,6.8,6,In Relationship,3,7
302,303,20,Female,Undergraduate,Australia,4.1,Instagram,No,7.7,7,Single,2,5
303,304,22,Male,Graduate,Germany,3.3,Facebook,No,8.2,8,In Relationship,1,4
305,306,21,Male,Graduate,Italy,5.0,Instagram,Yes,7.1,5,Single,3,7
308,309,19,Female,Undergraduate,USA,7.0,TikTok,Yes,5.1,4,In Relationship,4,9
309,310,21,Male,Graduate,UK,4.7,Instagram,Yes,6.9,6,Single,3,7
310,311,20,Female,Undergraduate,Australia,4.0,Facebook,No,7.8,7,In Relationship,2,5
311,312,22,Male,Graduate,Germany,3.2,Instagram,No,8.3,8,Single,1,4
313,314,21,Male,Graduate,Italy,4.9,TikTok,Yes,7.2,5,In Relationship,3,8
316,317,19,Female,Undergraduate,USA,7.1,Instagram,Yes,5.0,4,Single,4,9
317,318,21,Male,Graduate,UK,4.6,Facebook,Yes,7.0,6,In Relationship,3,7
318,319,20,Female,Undergraduate,Australia,3.9,Instagram,No,7.9,7,Single,2,5
319,320,22,Male,Graduate,Germany,3.1,Facebook,No,8.4,8,In Relationship,1,4
320,321,19,Female,Undergraduate,Spain,5.2,Instagram,Yes,6.8,6,Single,3,7
321,322,21,Male,Graduate,Denmark,4.1,Facebook,No,7.8,8,In Relationship,2,4
322,323,20,Female,Undergraduate,Ireland,5.0,Instagram,Yes,7.0,7,Single,3,6
324,325,19,Female,Undergraduate,Switzerland,4.0,Instagram,No,7.9,8,Single,2,4
325,326,21,Male,Graduate,Turkey,5.5,Instagram,Yes,6.7,6,Single,3,7
326,327,20,Female,Undergraduate,USA,6.8,TikTok,Yes,5.5,5,In Relationship,4,9
328,329,19,Female,Undergraduate,France,4.5,Instagram,No,7.5,7,In Relationship,2,5
329,330,21,Male,Graduate,Canada,5.3,Instagram,Yes,6.9,6,Single,3,7
330,331,20,Female,Undergraduate,Spain,5.1,TikTok,Yes,6.7,6,Single,3,7
331,332,22,Male,Graduate,Denmark,3.9,Facebook,No,7.9,8,In Relationship,2,4
332,333,19,Female,Undergraduate,Ireland,4.8,Instagram,Yes,7.1,7,Single,3,6
334,335,20,Female,Undergraduate,Switzerland,3.8,Instagram,No,8.0,8,Single,2,4
335,336,22,Male,Graduate,Turkey,5.4,TikTok,Yes,6.8,6,Single,3,7
336,337,19,Female,Undergraduate,USA,6.9,Instagram,Yes,5.4,5,In Relationship,4,9
338,339,20,Female,Undergraduate,France,4.4,Instagram,No,7.6,7,In Relationship,2,5
339,340,22,Male,Graduate,Canada,5.2,TikTok,Yes,7.0,6,Single,3,7
340,341,19,Female,Undergraduate,Spain,5.0,Instagram,Yes,6.9,6,Single,3,7
341,342,21,Male,Graduate,Denmark,3.8,Facebook,No,8.0,8,In Relationship,2,4
342,343,20,Female,Undergraduate,Ireland,4.7,TikTok,Yes,7.2,7,Single,3,6
344,345,19,Female,Undergraduate,Switzerland,3.7,Instagram,No,8.1,8,Single,2,4
345,346,21,Male,Graduate,Turkey,5.3,Instagram,Yes,6.9,6,Single,3,7
346,347,20,Female,Undergraduate,USA,7.0,TikTok,Yes,5.3,5,In Relationship,4,9
348,349,19,Female,Undergraduate,France,4.3,Instagram,No,7.7,7,In Relationship,2,5
349,350,21,Male,Graduate,Canada,5.1,Instagram,Yes,7.1,6,Single,3,7
350,351,20,Female,Undergraduate,Spain,4.9,TikTok,Yes,7.0,6,Single,3,7
351,352,22,Male,Graduate,Denmark,3.7,Facebook,No,8.1,8,In Relationship,2,4
352,353,19,Female,Undergraduate,Ireland,4.6,Instagram,Yes,7.3,7,Single,3,6
354,355,20,Female,Undergraduate,Switzerland,3.6,Instagram,No,8.2,8,Single,2,4
355,356,22,Male,Graduate,Turkey,5.2,TikTok,Yes,7.0,6,Single,3,7
356,357,19,Female,Undergraduate,USA,7.1,Instagram,Yes,5.2,5,In Relationship,4,9
358,359,20,Female,Undergraduate,France,4.2,Instagram,No,7.8,7,In Relationship,2,5
359,360,22,Male,Graduate,Canada,5.0,TikTok,Yes,7.2,6,Single,3,7
360,361,19,Female,Undergraduate,Spain,4.8,Instagram,Yes,7.1,6,Single,3,7
361,362,21,Male,Graduate,Denmark,3.6,Facebook,No,8.2,8,In Relationship,2,4
362,363,20,Female,Undergraduate,Ireland,4.5,TikTok,Yes,7.4,7,Single,3,6
364,365,19,Female,Undergraduate,Switzerland,3.5,Instagram,No,8.3,8,Single,2,4
365,366,21,Male,Graduate,Turkey,5.1,Instagram,Yes,7.1,6,Single,3,7
366,367,20,Female,Undergraduate,USA,7.2,TikTok,Yes,5.1,5,In Relationship,4,9
368,369,19,Female,Undergraduate,France,4.1,Instagram,No,7.9,7,In Relationship,2,5
369,370,21,Male,Graduate,Canada,4.9,Instagram,Yes,7.3,6,Single,3,7
370,371,20,Female,Undergraduate,Spain,4.7,TikTok,Yes,7.2,6,Single,3,7
371,372,22,Male,Graduate,Denmark,3.5,Facebook,No,8.3,8,In Relationship,2,4
372,373,19,Female,Undergraduate,Ireland,4.4,Instagram,Yes,7.5,7,Single,3,6
374,375,20,Female,Undergraduate,Switzerland,3.4,Instagram,No,8.4,8,Single,2,4
375,376,22,Male,Graduate,Turkey,5.0,TikTok,Yes,7.2,6,Single,3,7
376,377,19,Female,Undergraduate,USA,7.3,Instagram,Yes,5.0,5,In Relationship,4,9
378,379,20,Female,Undergraduate,France,4.0,Instagram,No,8.0,7,In Relationship,2,5
379,380,22,Male,Graduate,Canada,4.8,TikTok,Yes,7.4,6,Single,3,7
380,381,19,Female,Undergraduate,Spain,4.6,Instagram,Yes,7.3,6,Single,3,7
381,382,21,Male,Graduate,Denmark,3.4,Facebook,No,8.4,8,In Relationship,2,4
382,383,20,Female,Undergraduate,Ireland,4.3,TikTok,Yes,7.6,7,Single,3,6
384,385,19,Female,Undergraduate,Switzerland,3.3,Instagram,No,8.5,8,Single,2,4
385,386,21,Male,Graduate,Turkey,4.9,Instagram,Yes,7.3,6,Single,3,7
386,387,20,Female,Undergraduate,USA,7.4,TikTok,Yes,4.9,5,In Relationship,4,9
388,389,19,Female,Undergraduate,France,3.9,Instagram,No,8.1,7,In Relationship,2,5
389,390,21,Male,Graduate,Canada,4.7,Instagram,Yes,7.5,6,Single,3,7
390,391,20,Female,Undergraduate,Spain,4.5,TikTok,Yes,7.4,6,Single,3,7
391,392,22,Male,Graduate,Denmark,3.3,Facebook,No,8.5,8,In Relationship,2,4
392,393,19,Female,Undergraduate,Ireland,4.2,Instagram,Yes,7.7,7,Single,3,6
394,395,20,Female,Undergraduate,Switzerland,3.2,Instagram,No,8.6,8,Single,2,4
395,396,22,Male,Graduate,Turkey,4.8,TikTok,Yes,7.4,6,Single,3,7
396,397,19,Female,Undergraduate,USA,7.5,Instagram,Yes,4.8,5,In Relationship,4,9
398,399,20,Female,Undergraduate,France,3.8,Instagram,No,8.2,7,In Relationship,2,5
399,400,22,Male,Graduate,Canada,4.6,TikTok,Yes,7.6,6,Single,3,7
400,401,19,Female,Undergraduate,Spain,4.4,Instagram,Yes,7.5,6,Single,3,7
401,402,21,Male,Graduate,Denmark,3.2,Facebook,No,8.6,8,In Relationship,2,4
402,403,20,Female,Undergraduate,Ireland,4.1,TikTok,Yes,7.8,7,Single,3,6
404,405,19,Female,Undergraduate,Switzerland,3.1,Instagram,No,8.7,8,Single,2,4
405,406,21,Male,Graduate,Turkey,4.7,Instagram,Yes,7.5,6,Single,3,7
406,407,20,Female,Undergraduate,USA,7.6,TikTok,Yes,4.7,5,In Relationship,4,9
408,409,19,Female,Undergraduate,France,3.7,Instagram,No,8.3,7,In Relationship,2,5
409,410,21,Male,Graduate,Canada,4.5,Instagram,Yes,7.7,6,Single,3,7
410,411,20,Female,Undergraduate,Spain,4.3,TikTok,Yes,7.6,6,Single,3,7
411,412,22,Male,Graduate,Denmark,3.1,Facebook,No,8.7,8,In Relationship,2,4
412,413,19,Female,Undergraduate,Ireland,4.0,Instagram,Yes,7.9,7,Single,3,6
414,415,20,Female,Undergraduate,Switzerland,3.0,Instagram,No,8.8,8,Single,2,4
415,416,22,Male,Graduate,Turkey,4.6,TikTok,Yes,7.6,6,Single,3,7
416,417,19,Female,Undergraduate,USA,7.7,Instagram,Yes,4.6,5,In Relationship,4,9
418,419,20,Female,Undergraduate,France,3.6,Instagram,No,8.4,7,In Relationship,2,5
419,420,22,Male,Graduate,Canada,4.4,TikTok,Yes,7.8,6,Single,3,7
420,421,19,Female,Undergraduate,Spain,4.2,Instagram,Yes,7.7,6,Single,3,7
421,422,21,Male,Graduate,Denmark,3.0,Facebook,No,8.8,8,In Relationship,2,4
422,423,20,Female,Undergraduate,Ireland,3.9,TikTok,Yes,8.0,7,Single,3,6
424,425,19,Female,Undergraduate,Switzerland,2.9,Instagram,No,8.9,8,Single,2,4
425,426,21,Male,Graduate,Turkey,4.5,Instagram,Yes,7.7,6,Single,3,7
426,427,20,Female,Undergraduate,USA,7.8,TikTok,Yes,4.5,5,In Relationship,4,9
428,429,19,Female,Undergraduate,France,3.5,Instagram,No,8.5,7,In Relationship,2,5
429,430,21,Male,Graduate,Canada,4.3,Instagram,Yes,7.9,6,Single,3,7
430,431,20,Female,Undergraduate,Spain,4.1,TikTok,Yes,7.8,6,Single,3,7
431,432,22,Male,Graduate,Denmark,2.9,Facebook,No,8.9,8,In Relationship,2,4
432,433,19,Female,Undergraduate,Ireland,3.8,Instagram,Yes,8.1,7,Single,3,6
434,435,20,Female,Undergraduate,Switzerland,2.8,Instagram,No,9.0,8,Single,2,4
435,436,22,Male,Graduate,Turkey,4.4,TikTok,Yes,7.8,6,Single,3,7
